Year,Model,Type,Validated
2021,D3PM,Discrete,Yes
2022,Diffusion-LM,Continuous,No
2022,SSD-LM,Continuous,No
2022,DiffusionBERT,Discrete,No
2022,CDCD,Continuous,No
2023,Plaid,Continuous,Yes
2023,SEDD,Discrete,Yes
2024,MDLM,Discrete,Yes
2024,RADD,Discrete,Yes
2024,MD4,Discrete,Yes
2024,DFM,Discrete,No
2024,EDLM,Discrete,Yes
2024,DDPD,Discrete,Yes
2024,SDTT,Discrete,Yes
2025,CaDDi,Discrete,No
2025,RDLM,Continuous,No
2025,BD3-LM,Discrete,Yes
2025,VADD,Discrete,Yes
2025,TCSM,Discrete,Yes
2025,ADLM,Discrete,Yes
2025,DUO,Discrete,Yes
2025,CADD,Discrete,Yes
2026,XDLM,Discrete,Yes
2026,SCDD,Discrete,Yes
2026,FLM,Continuous,No
2026,CoDAR,Continuous,No
2026,LangFlow,Continuous,Yes
